name,startdate,dataTakeID,fileVersion,id,clouds,usable
BE-Vie,2021-02-27 10:43:00,20210227104304,1,PRS_L2D_STD_20210227104304_20210227104308_0001,some,1
BE-Vie,2020-06-29 10:55:00,20200629105538,1,PRS_L2D_STD_20200629105538_20200629105542_0001,many,0
BE-Vie,2020-04-20 10:49:00,20200420104916,1,PRS_L2D_STD_20200420104916_20200420104920_0001,no,1
BE-Vie,2022-07-05 10:46:00,20220705104610,1,PRS_L2D_STD_20220705104610_20220705104614_0001,many,0
BE-Vie,2022-04-15 10:49:00,20220415104920,1,PRS_L2D_STD_20220415104920_20220415104925_0001,many,2
BE-Vie,2022-09-30 10:46:00,20220930104603,1,PRS_L2D_STD_20220930104603_20220930104607_0001,many,0
CH-Dav,2019-06-28 10:28:00,20190628102840,1,PRS_L2D_STD_20190628102840_20190628102844_0001,many,0
DE-Hai,2020-04-25 10:35:00,20200425103535,1,PRS_L2D_STD_20200425103535_20200425103539_0001,many,0
DE-Hai,2020-04-19 10:32:00,20200419103219,1,PRS_L2D_STD_20200419103219_20200419103223_0001,no,1
DE-Hai,2020-05-12 10:28:00,20200512102854,1,PRS_L2D_STD_20200512102854_20200512102859_0001,many,0
DE-Hai,2020-09-23 10:38:00,20200923103807,1,PRS_L2D_STD_20200923103807_20200923103812_0001,many,0
DE-Hai,2020-06-28 10:38:00,20200628103840,1,PRS_L2D_STD_20200628103840_20200628103844_0001,many,0
DE-Hai,2020-07-26 10:21:00,20200726102153,1,PRS_L2D_STD_20200726102153_20200726102157_0001,many,0
DE-Hai,2021-04-14 10:35:00,20210414103521,1,PRS_L2D_STD_20210414103521_20210414103525_0001,many,0
DE-Hai,2021-03-27 10:25:00,20210327102541,1,PRS_L2D_STD_20210327102541_20210327102545_0001,many,0
DE-Hai,2021-09-29 10:32:00,20210929103241,1,PRS_L2D_STD_20210929103241_20210929103245_0001,many,0
DE-Hai,2021-05-01 10:28:00,20210501102833,1,PRS_L2D_STD_20210501102833_20210501102837_0001,many,0
DE-Hai,2022-08-02 10:29:00,20220802102909,1,PRS_L2D_STD_20220802102909_20220802102909_0001,no,1
DE-Hai,2022-09-11 10:19:00,20220911101916,1,PRS_L2D_STD_20220911101916_20220911101920_0001,many,0
DE-Hai,2022-10-05 10:05:00,20221005103228,1,PRS_L2D_STD_20221005103228_20221005103232_0001,many,0
DE-HoH,2020-04-13 10:28:00,20200413102845,1,PRS_L2D_STD_20200413102845_20200413102849_0001,many,2
DE-HoH,2020-08-19 10:35:00,20200819103445,1,PRS_L2D_STD_20200819103445_20200819103450_0001,many,0
DE-HoH,2020-10-27 10:24:00,20201027102418,1,PRS_L2D_STD_20201027102418_20201027102423_0001,many,0
